date,conditional_vol,std_residuals,ta_rsi_14d,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,spread_1_2,spread_2_3,spread_3_4,spread_4_5,brazil_minas_gerais_avg_temp,brazil_minas_gerais_precipitation,vietnam_ho_chi_minh_avg_temp,vietnam_ho_chi_minh_precipitation,colombia_antioquia_avg_temp,colombia_antioquia_precipitation,indonesia_sumatra_avg_temp,indonesia_sumatra_precipitation,cot_noncomm_net,brl_usd_exchange_rate,oil_price_wti,indonesia_idr_usd,mexico_mxn_usd,sugar_price,sp500_price,nestle_stock,us_dollar_index,shipping_proxy,volatility_index,dgs10_yield,target_log_return_front_month,target_log_return_second_month,target_log_return_third_month,target_log_return_fourth_month,target_log_return_fifth_month
2000-03-01,0.023724506118981248,0.5221856879156449,36.8289416869461,-3.5626138053542604,-0.2590253098206543,-3.303588495533606,-0.75,-2.3999999999999915,-2.700000000000003,-2.8499999999999943,21.764915,0.2,27.919832,0.7,18.367083,3.7,25.550001,0.90000004,76.0,1.769,31.71,43.63,9.363,5.079999923706055,1379.18994140625,8.835063934326172,104.88999938964844,2245.250244140625,21.63999938964844,6.39,0.05995561846100981,0.0581392868955405,0.05774415895108075,0.057210333572054496,0.05877547417513606
2000-03-02,0.023264233308739852,1.6446462408769529,46.500777211200656,-3.142248307660225,0.12907215029870533,-3.27132045795893,-0.75,-2.3000000000000114,-2.5999999999999943,-2.75,21.460749,0.4,27.978165,0.70000005,19.135836,2.7,25.956251,0.0,76.0,1.759,31.51,43.65,9.341,4.960000038146973,1381.760009765625,8.835063934326172,105.6500015258789,2253.156005859375,21.059999465942383,6.4,0.01978397075379625,0.017326586581468795,0.01968477386038886,0.020996974196829617,0.02351000749635341
2000-03-03,0.024416043888418323,-0.2952126398397519,45.08917638697876,-2.836922082314061,0.34751870051589595,-3.184440782829957,-1.0500000000000114,-2.3999999999999915,-2.700000000000003,-2.75,21.79825,0.0,28.482336,0.2,18.404585,3.3000002,26.035418,0.0,76.0,1.744,31.46,43.65,9.315,5.050000190734863,1409.1700439453125,8.7188138961792,106.0,2263.19677734375,19.209999084472656,6.39,0.0166314120967276,0.009912755232226568,0.012903404835908001,0.013483350337286988,0.01707198389864746
2000-03-06,0.023805377801171278,0.7758066924162104,49.390861965024264,-2.409821226760073,0.6196956448559074,-3.0295168716159804,-0.5,-2.5,-2.799999999999997,-3.0,22.812834,0.0,27.292753,2.8000002,18.412918,18.0,25.464582,12.799999,76.0,1.747,32.19,43.63,9.3175,5.039999961853027,1391.280029296875,8.731731414794922,106.16000366210938,2263.038330078125,21.5,6.42,-0.0028261912358350815,-0.0037523496185503527,-0.00274851295334916,-0.0008924587830196112,0.0008684325339539724
2000-03-07,0.023571420665873574,0.8279739911838185,53.60600079477506,-1.8802143316478492,0.9194420319745049,-2.799656363622354,-0.3499999999999943,-2.5,-2.799999999999997,-3.1000000000000085,22.73575,1.5,27.490664,0.8,18.452503,10.5,25.225,25.7,1528.0,1.747,33.9,43.63,9.285,5.070000171661377,1355.6199951171875,8.525062561035156,106.08999633789062,2253.156005859375,24.309999465942383,6.39,-0.05547760448715636,-0.05675281659244948,-0.050702103119962205,-0.049886775749882775,-0.047190931460126484
2000-03-08,0.02339821520617397,-0.3980725563790568,51.410177274695094,-1.5236252903873009,1.0208248585880426,-2.5444501489753435,-0.5999999999999943,-2.5,-2.799999999999997,-3.200000000000003,21.404501,15.2,28.113585,0.1,18.206669,14.700001,25.670832,5.3999996,1528.0,1.754,31.22,43.65,9.272,5.119999885559082,1366.699951171875,8.266725540161133,105.93000030517578,2342.096923828125,23.81999969482422,6.38,-0.041831193845128616,-0.04594698760695885,-0.04299252337693342,-0.04098749806516718,-0.038499942927641084
2000-03-09,0.022867796178972256,-0.08353292263758873,50.96057035852546,-1.2428375766887285,1.041290057829292,-2.2841276345180206,-0.5,-2.5999999999999943,-2.799999999999997,-3.1000000000000085,20.392,16.2,28.428167,0.1,17.885836,10.800001,25.212502,16.599998,1528.0,1.735,31.61,43.63,9.2925,5.159999847412109,1401.68994140625,8.357142448425293,105.37000274658205,2411.272705078125,22.209999084472656,6.35,-0.007960706990455447,-0.00979713924498327,-0.008650179136679936,-0.009327182875138769,-0.007775417142797561
2000-03-10,0.02225061693327255,-0.4656267940292086,48.45080977316054,-1.0964330992703282,0.950155628198154,-2.046588727468482,-0.3500000000000085,-2.75,-2.799999999999997,-3.200000000000003,20.5545,21.3,28.16775,1.8000001,18.185835,4.5999994,24.695837,19.600002,1528.0,1.738,31.76,43.65,9.3175,5.21999979019165,1395.0699462890625,8.085891723632812,105.70999908447266,2450.801513671875,21.239999771118164,6.39,0.0,-0.0009398496932423847,-0.0032102756302483213,-0.004922811463216607,-0.006531701863215124
2000-03-13,0.021791338417807792,-0.045395647571115826,48.21832094092467,-0.9772109805035285,0.8555021975719632,-1.8327131780754917,-0.4000000000000057,-2.5999999999999943,-3.0,-3.200000000000003,20.06283,18.7,27.507334,0.90000004,18.646252,5.299999,25.349998,2.6,1528.0,1.749,32.11,43.65,9.313,5.420000076293945,1383.6199951171875,8.008392333984375,105.5,2450.801513671875,22.850000381469727,6.36,-0.026285862270924974,-0.0037664827954768934,-0.0032161755267049587,-0.004025950416553065,-0.0060949252674965875
2000-03-14,0.021206977809058974,-1.5624522411001354,40.92260229239017,-1.1478807053386362,0.5478659781894846,-1.6957466835281207,-0.20000000000000284,-3.0,-2.75,-3.25,19.925333,1.1,27.626083,0.5,18.262917,4.4,25.329165,6.6000004,2041.0,1.738,31.93,43.64,9.319,5.28000020980835,1359.1500244140625,8.034226417541504,105.3000030517578,2371.743896484375,24.40999984741211,6.31,0.015961644800877004,0.03959496465465565,0.035303248115088226,0.03709154272507563,0.033871722744598785
2000-03-15,0.02211568273332802,0.19588919557387538,42.15208328643558,-1.2326176042226678,0.3705032634443626,-1.6031208676670303,-0.15000000000000568,-2.6999999999999886,-2.9000000000000057,-3.3499999999999943,20.66908,10.800001,27.713583,1.7,18.642084,6.8999996,25.277084,5.1,2041.0,1.7402,30.47,43.65,9.337,5.25,1392.1400146484375,8.421728134155273,105.37999725341795,2342.096923828125,22.34000015258789,6.29,0.02682153119456314,0.05010499775562255,0.04750720373145996,0.04714677842570208,0.04491707724827456
2000-03-16,0.021544080566452108,1.483482802015259,50.423718745684845,-1.01772352096404,0.4683178773623924,-1.4860413983264325,-0.30000000000001137,-2.6999999999999886,-2.700000000000003,-3.25,20.958664,11.8,28.007334,0.2,18.700417,4.2,25.568748,2.2,2041.0,1.736,31.1,43.58,9.325,5.340000152587891,1458.469970703125,9.015899658203123,105.18000030517578,2371.743896484375,20.770000457763672,6.26,-0.04078281647562638,-0.01702168756943075,-0.016133099395092818,-0.01121842593375256,-0.011338978880517894
2000-03-17,0.02232180111395932,-0.10750819009203896,49.85084871284737,-0.8577042418187943,0.5026697252061105,-1.3603739670249049,-0.25,-2.5,-2.6000000000000085,-3.0,21.481583,10.200001,28.424002,0.0,18.510836,6.5000005,25.216667,7.1000004,2041.0,1.737,30.86,43.65,9.322,5.269999980926514,1464.469970703125,8.886733055114746,105.1999969482422,2470.56591796875,22.3700008392334,6.2,-0.028197806102676512,-0.005185022222047182,-0.0027598913562555207,0.004922811463216652,0.006531701863215059
2000-03-20,0.02172584513543101,-1.255421550683978,43.748784679699334,-0.9499090317554959,0.3283719482155272,-1.278280979971023,-2.75,-2.6500000000000057,-2.8999999999999915,-2.950000000000003,21.998247,0.4,28.203165,0.2,18.02542,9.200001,25.422918,6.9,2041.0,1.74,29.33,43.63,9.321,5.130000114440918,1456.6300048828125,8.886733055114746,105.1500015258789,2470.56591796875,22.959999084472656,6.18,-0.0009689923238812285,-0.0018885746878681362,-0.0009208103781378731,0.0031326944393381046,0.0060949252674965615
2000-03-21,0.02212963011091419,0.41178352378255795,46.116468383983324,-0.9355406018568431,0.2741923024913442,-1.2097329043481873,-2.700000000000003,-2.6499999999999915,-3.049999999999997,-3.0,21.523249,0.1,28.076086,0.0,18.262918,4.6,24.943754,19.3,3031.0,1.7395,28.01,43.59,9.3,5.199999809265137,1493.8699951171875,9.145066261291504,105.80999755859376,2470.56591796875,21.700000762939453,6.13,0.00287494208559912,0.0023359038885865193,0.003189795368100302,0.004430667416484675,0.006037103286341572
2000-03-22,0.021642977215209958,0.7019417681227543,49.938356254528266,-0.7859865259891592,0.3389971026872225,-1.1249836286763817,-2.6500000000000057,-2.549999999999997,-3.0,-3.25,21.796167,0.3,27.736502,0.0,18.848333,5.2,24.764585,20.0,3031.0,1.729,27.28,43.65,9.275,5.25,1500.6400146484375,9.054649353027344,106.04000091552734,2470.56591796875,21.489999771118164,6.13,-0.018121621319017248,-0.01720572554113927,-0.01634913800152941,-0.01324522675002068,-0.01287571436004528
2000-03-23,0.021374626503203174,-1.6675881872969827,42.44150213296542,-0.95501411297613,0.1359756125602014,-1.0909897255363314,-2.75,-2.75,-3.200000000000003,-3.200000000000003,21.719086,0.2,27.838583,0.2,18.256666,7.8,24.783333,8.5,3031.0,1.723,27.47,43.65,9.2375,5.449999809265137,1527.3499755859375,9.287151336669922,105.2300033569336,2490.330810546875,22.26000022888184,6.08,0.01361888753480404,0.011379923662762581,0.010171146399479887,0.0085374591804949,0.007428480740611654
2000-03-24,0.022488352216622112,0.45291152670871754,44.966406574781026,-0.9927990986442694,0.07855250151364968,-1.071351600157919,-2.6499999999999915,-2.75,-3.450000000000003,-3.200000000000003,21.98575,1.2,29.09275,0.0,17.787918,12.1,25.2125,3.8,3031.0,1.73,27.86,43.65,9.1875,5.380000114440918,1527.4599609375,9.377569198608398,104.7699966430664,2496.260009765625,23.309999465942383,6.2,0.00531787571822076,0.004714765923703172,0.003678165066328027,-0.0008932559772149909,-0.0017376198985408486
2000-03-27,0.022014905519241103,-0.002102230736672206,44.966406574781026,-1.011088770052126,0.04821026408463447,-1.0592990341367605,-2.6499999999999915,-2.75,-3.3500000000000085,-3.299999999999997,21.800333,0.4,28.390665,0.4,18.28375,2.8999999,25.016665,12.900001,3031.0,1.736,27.59,43.62,9.1825,5.46999979019165,1523.8599853515625,9.196732521057127,105.4499969482422,2431.037109375,24.530000686645508,6.21,-0.010231514346641097,-0.009973960621951822,-0.011116371999510799,-0.012590094360072124,-0.013106347505300547
2000-03-28,0.02142167558066923,0.6048337081646997,48.345188134058255,-0.9062035978497249,0.12247634902962856,-1.0286799468793535,-2.6500000000000057,-2.75,-3.1999999999999886,-3.200000000000003,21.581583,0.5,28.544832,1.6,18.598333,2.1000001,25.858335,3.0,1748.0,1.749,27.1,43.65,9.184,5.409999847412109,1507.72998046875,9.119234085083008,105.52999877929688,2510.094970703125,24.86000061035156,6.17,-0.043017385083690816,-0.041930868543242135,-0.04275744226964588,-0.04152221014156049,-0.04035635344946367
