timestamp,cycle_id,contract,signal,prediction_type,strategy,price,sma_200,confidence,regime,trigger_type
2026-03-16 14:09:20+00:00,NG-ef9a605b,NGM26 (202605),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.23,3.68,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 14:10:22+00:00,NG-8a7ae57a,NGN26 (202606),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.49,3.88,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 14:11:41+00:00,NG-1f6549c0,NGQ26 (202607),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.57,3.94,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 14:12:08+00:00,NG-a9afc23a,NGU26 (202608),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.55,3.9,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 15:36:25+00:00,NG-39048178,NGM26 (202605),NEUTRAL,DIRECTIONAL,NONE,3.14,3.68,0.0,HIGH_VOLATILITY,EMERGENCY
2026-03-16 15:43:21+00:00,NG-53c6144e,NGM26 (202605),NEUTRAL,DIRECTIONAL,NONE,3.15,3.68,0.0,HIGH_VOLATILITY,EMERGENCY
2026-03-16 16:27:33+00:00,NG-18980d32,NGM26 (202605),NEUTRAL,DIRECTIONAL,NONE,3.15,3.68,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 16:28:26+00:00,NG-2c13fd96,NGN26 (202606),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.42,3.88,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 16:29:30+00:00,NG-c15397c6,NGQ26 (202607),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.5,3.94,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-16 16:29:47+00:00,NG-6cf6d6e3,NGU26 (202608),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.48,3.9,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 14:09:45+00:00,NG-ab1afdd7,NGM26 (202605),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.18,3.67,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 14:10:09+00:00,NG-33515936,NGN26 (202606),NEUTRAL,DIRECTIONAL,NONE,3.46,3.88,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 14:11:23+00:00,NG-be576c62,NGQ26 (202607),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.54,3.94,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 14:12:18+00:00,NG-3f7fb5aa,NGU26 (202608),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.52,3.9,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 15:38:33+00:00,NG-1af9ed22,NGM26 (202605),NEUTRAL,DIRECTIONAL,NONE,3.15,3.67,0.0,TRENDING,EMERGENCY
2026-03-17 16:27:28+00:00,NG-8b5635a7,NGM26 (202605),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.14,3.67,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 16:28:56+00:00,NG-0b859f0e,NGN26 (202606),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.42,3.88,0.8,RANGE_BOUND,SCHEDULED
2026-03-17 16:29:27+00:00,NG-90b0176c,NGQ26 (202607),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.51,3.94,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-17 16:31:05+00:00,NG-6a3a0e1f,NGU26 (202608),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.49,3.9,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-18 14:09:51+00:00,NG-a306f55b,NGM26 (202605),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.13,3.67,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-18 14:10:43+00:00,NG-91585de7,NGN26 (202606),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.41,3.88,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-18 14:12:03+00:00,NG-98e3342a,NGU26 (202608),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.48,3.9,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-18 14:13:02+00:00,NG-0dfceb47,NGQ26 (202607),BEARISH,DIRECTIONAL,BEAR_PUT_SPREAD,3.5,3.93,0.8,HIGH_VOLATILITY,SCHEDULED
2026-03-18 15:36:16+00:00,NG-8b8b182b,NGM26 (202605),NEUTRAL,DIRECTIONAL,NONE,3.15,3.67,0.8,TRENDING,EMERGENCY
