timestamp,agent,predicted,actual,correct
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,NEUTRAL,BEARISH,0
2026-03-17 18:05:00+00:00,master_decision,NEUTRAL,BEARISH,0
2026-03-17 18:05:00+00:00,master_decision,NEUTRAL,BEARISH,0
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-17 18:05:00+00:00,master_decision,BEARISH,NEUTRAL,0
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-18 18:05:00+00:00,master_decision,NEUTRAL,BEARISH,0
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-18 18:05:00+00:00,master_decision,BEARISH,NEUTRAL,0
2026-03-18 18:05:00+00:00,master_decision,NEUTRAL,BEARISH,0
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BEARISH,1
2026-03-18 18:05:00+00:00,master_decision,BEARISH,BULLISH,0
