timestamp,contract,entry_price,ml_signal,ml_confidence,meteorologist_sentiment,meteorologist_summary,macro_sentiment,macro_summary,geopolitical_sentiment,geopolitical_summary,sentiment_sentiment,sentiment_summary,master_decision,master_confidence,master_reasoning,compliance_approved
2026-01-02 03:55:52,KC H25 (202501),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: Hallucination detected,False
2026-01-02 03:55:52,KC H26 (202502),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: Hallucination detected,False
2026-01-02 03:55:52,KC H27 (202503),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: Hallucination detected,False
2026-01-02 03:55:52,KC H28 (202504),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: Hallucination detected,False
2026-01-02 03:55:52,KC H29 (202505),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: Hallucination detected,False
2026-01-02 03:55:53,KC H25 (202501),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: AUDIT SYSTEM FAILURE: Timeout,False
2026-01-02 03:55:53,KC H26 (202502),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: AUDIT SYSTEM FAILURE: Timeout,False
2026-01-02 03:55:53,KC H27 (202503),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: AUDIT SYSTEM FAILURE: Timeout,False
2026-01-02 03:55:53,KC H28 (202504),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: AUDIT SYSTEM FAILURE: Timeout,False
2026-01-02 03:55:53,KC H29 (202505),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,BLOCKED BY AUDIT: AUDIT SYSTEM FAILURE: Timeout,False
2026-01-02 03:55:54,KC H25 (202501),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,Price projection exceeded volatility safety limits (Hallucination Risk).,True
2026-01-02 03:55:54,KC H26 (202502),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,Price projection exceeded volatility safety limits (Hallucination Risk).,True
2026-01-02 03:55:54,KC H27 (202503),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,Price projection exceeded volatility safety limits (Hallucination Risk).,True
2026-01-02 03:55:55,KC H28 (202504),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,Price projection exceeded volatility safety limits (Hallucination Risk).,True
2026-01-02 03:55:55,KC H29 (202505),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,NEUTRAL,0.0,Price projection exceeded volatility safety limits (Hallucination Risk).,True
2026-01-02 03:55:55,KC H25 (202501),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,BULLISH,0.9,Solid fundamentals,True
2026-01-02 03:55:55,KC H26 (202502),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,BULLISH,0.9,Solid fundamentals,True
2026-01-02 03:55:55,KC H27 (202503),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,BULLISH,0.9,Solid fundamentals,True
2026-01-02 03:55:56,KC H28 (202504),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,BULLISH,0.9,Solid fundamentals,True
2026-01-02 03:55:56,KC H29 (202505),100.0,LONG,0.8,N/A,Report Content,N/A,Report Content,N/A,Report Content,N/A,Report Content,BULLISH,0.9,Solid fundamentals,True
